Código da Engenharia;Faturamento Médio;Quantidade em Estoque;Ordem de Fabricação Aberto;Comprometido;Disponível;Estoque Mínimo;Balanço;Prazo Produção;Máscara;Unidade de Medida;Peso Unitário;Peso Total;Lote!Econômico;Lote de!Produção
3;0;0;0;0;0;300;-300;;1.01.02.18;kg;1;300;0;300
4;0;160;0;0;160;200;-40;;1.01.02.12;kg;1;40;0;300
5;0;196;0;64;132;0;132;;1.22.40.08;kg;1;132;0;120
6;0;0;0;0;0;300;-300;;1.01.02.01;kg;1;300;0;300
8;0;802,5;0;72,5;730;600;130;;1.01.02.02;kg;1;130;0;300
9;0;565;0;15;550;200;350;;1.01.02.10;kg;1;350;0;300
10;0;70;0;25;45;300;-255;;1.01.02.34;kg;1;255;0;300
11;0;1.047,50;900,3;410;1.537,80;300;1.237,80;;1.01.02.09;kg;1;1,237;0;300
12;0;480;900,5;335;1.045,50;1.600,00;-554,5;;1.02.02.05;kg;1;554;0;300
13;0;1.755,00;900,5;662,5;1.993,00;1.500,00;493;;1.02.02.03;kg;1;493;0;300
16;0;1.282,50;0;242,5;1.040,00;1.000,00;40;;1.03.02.05;kg;1;40;0;300
17;0;0,16;64;0;64,16;0;64,16;;1.08.02.27;kg;1;64;0;0
18;0;9,4;0;0;9,4;0;9,4;;1.22.99.01;kg;1;9;0;8
19;0;52;0;76;-24;0;-24;;1.22.40.01;kg;1;24;0;300
20;0;144;450;34;560;200;360;;1.04.02.02;kg;1;360;0;120
21;0;616;1.200,00;442;1.374,00;1.500,00;-126;;1.04.02.04;kg;1;126;0;400
22;0;110;450;74;486;100;386;;1.04.02.05;kg;1;386;0;300
23;0;292;100;74;318;300;18;;1.04.02.07;kg;1;18;0;120
24;0;156;100;32;224;300;-76;;1.04.02.11;kg;1;76;0;120
25;0;132;600;208;524;500;24;;1.04.02.12;kg;1;24;0;300
26;0;270;300;290;280;800;-520;;1.04.02.13;kg;1;520;0;400
27;0;618;600;140;1.078,00;600;478;;1.04.02.15;kg;1;478;0;300
28;0;100;0;68;32;40;-8;;1.04.02.16;kg;1;8;0;120
29;0;420;400;106;714;240;474;;1.04.02.17;kg;1;474;0;120
30;0;10,6;0;0;10,6;0;10,6;;1.22.99.02;kg;1;10;0;8
31;0;1.428,00;2.400,00;648;3.180,00;1.200,00;1.980,00;;1.04.02.25;kg;1;1,98;0;400
32;0;508;448;360;596;500;96;;1.04.02.28;kg;1;96;0;300
33;0;446;1.300,00;220;1.526,00;450;1.076,00;;1.04.02.32;kg;1;1,076;0;400
34;0;56;0;32;24;50;-26;;1.04.02.33;kg;1;26;0;120
36;0;140;0;14;126;120;6;;1.04.02.20;kg;1;6;0;120
37;0;388;600;140;848;300;548;;1.04.02.01;kg;1;548;0;120
38;0;8;0;72;-64;0;-64;;1.22.50.02;kg;1;64;0;0
39;0;114;600;136;578;200;378;;1.04.02.03;kg;1;378;0;120
40;0;194;150;44;300;120;180;;1.04.02.08;kg;1;180;0;120
41;0;192;1.000,00;94;1.098,00;400;698;;1.04.02.09;kg;1;698;0;400
42;0;294;450;62;682;360;322;;1.04.02.18;kg;1;322;0;120
43;0;16;40;21;35;40;-5;;1.08.02.33;kg;1;5;0;10
44;0;326;1.200,00;410;1.116,00;1.000,00;116;;1.04.02.19;kg;1;116;0;400
45;0;150;0;6;144;50;94;;1.04.02.21;kg;1;94;0;120
48;0;78;300;80;298;240;58;;1.04.02.26;kg;1;58;0;120
49;0;13,4;0;0;13,4;0;13,4;;1.22.99.03;kg;1;13;0;20
50;0;412;150;158;404;360;44;;1.04.02.27;kg;1;44;0;120
51;0;0;0;0;0;0;0;;1.22.99.05;kg;1;0;0;8
52;0;670;1.202,00;282;1.590,00;800;790;;1.04.02.30;kg;1;790;0;300
55;0;232;0;16;216;80;136;;1.04.02.36;kg;1;136;0;120
56;0;136;1.600,00;586;1.150,00;900;250;;1.04.02.24;kg;1;250;0;400
57;0;35,44;94,08;0;129,52;80;49,52;;1.08.02.03;kg;1;49;0;23,52
59;0;0;0;0;0;0;0;;1.22.99.06;kg;1;0;0;8
62;0;0;0;0;0;0;0;;1.22.40.05;kg;1;0;0;120
63;0;0;0;0;0;0;0;;1.22.99.08;kg;0,001;0;0;8
65;0;2,6;0;0;2,6;0;2,6;;1.22.99.09;kg;1;2;0;20
66;0;688;0;96;592;0;592;;1.22.50.05;kg;1;592;0;0
67;0;3;0;0;3;0;3;;1.22.99.10;kg;1;3;0;20
70;0;528;0;0;528;0;528;;1.22.40.07;kg;1;528;0;300
72;0;54;0;0;54;0;54;;1.22.20.01;kg;1;54;0;304
73;0;62;305;126;241;0;241;;1.22.20.02;kg;1;241;0;304
75;0;5,64;0;0;5,64;0;5,64;;1.22.99.14;kg;1;5;0;16
76;0;16;0;0;16;0;16;;1.22.99.15;kg;1;16;0;16
79;0;340;301;0;641;0;641;;1.22.20.04;kg;1;641;0;304
80;0;11,2;0;0;11,2;0;11,2;;1.22.99.17;kg;1;11;0;16
81;0;340;904;874;370;0;370;;1.22.20.05;kg;1;370;0;304
82;0;5,44;0;0;5,44;0;5,44;;1.22.99.18;kg;1;5;0;16
85;0;100;900,3;57,5;942,8;0;942,8;;1.01.02.35;kg;1;942;0;300
86;0;857,5;4.486,80;977,5;4.366,80;0;4.366,80;;1.01.02.36;kg;1;4,366;0;300
87;0;24,2;0;3;21,2;0;21,2;;1.01.99.28;kg;1;21;0;20
88;0;282;0;34;248;0;248;;1.04.02.46;kg;1;248;0;120
89;0;315;0;50;265;0;265;;1.04.05.40;kg;1;265;0;120
90;0;6,8;0;1;5,8;0;5,8;;1.04.99.40;kg;1;5;0;10
91;0;457,5;900,3;232,5;1.125,30;600;525,3;;1.01.02.11;kg;1;525;0;300
92;0;7,8;0;0;7,8;50;-42,2;;1.16.99.01;kg;1;42;0;20
93;0;12;1.000,00;178;834;600;234;;1.04.02.37;kg;1;234;0;120
94;0;212;0;0;212;0;212;;1.22.50.03;kg;1;212;0;400
95;0;4;0;0;4;50;-46;;1.16.99.02;kg;1;46;0;20
96;0;4,4;0;0;4,4;50;-45,6;;1.16.99.03;kg;1;45;0;20
97;0;22,8;0;1,5;21,3;50;-28,7;;1.01.99.19;kg;1;28;0;30
100;0;23,8;0;0;23,8;60;-36,2;;1.01.99.20;kg;1;36;0;30
102;0;756;0;162;594;300;294;;1.01.02.07;kg;1;294;0;312
103;0;10,2;0;0;10,2;60;-49,8;;1.01.99.21;kg;1;49;0;30
104;0;10,6;0;1;9,6;50;-40,4;;1.08.99.27;kg;1;40;0;12,6
105;0;5,4;0;0;5,4;0;5,4;;1.22.99.04;kg;1;5;0;20
106;0;28,8;0;0;28,8;50;-21,2;;1.05.99.09;kg;1;21;0;50
107;0;911,4;5.446,70;1.757,70;4.600,40;0;4.600,40;;1.01.02.26;kg;1;4,6;0;302,4
108;0;0;0;0;0;0;0;;1.05.04.11;kg;1;0;0;0
110;0;0;0;0;0;0;0;;2.01.02.59;kg;1,03;0;0;0
111;0;0;0;0;0;0;0;;2.01.01.08;kg;1,03;0;0;0
112;0;0;0;0;0;0;0;;1.08.99.29;kg;1;0;0;12,6
114;0;0;0;0;0;0;0;;2.01.11.47;kg;0;0;0;0
115;0;0;0;0;0;0;0;;2.01.05.01;kg;0;0;0;0
119;0;0;0;0;0;0;0;;2.02.01.30;kg;1,03;0;0;0
121;0;2.059,20;2.732,70;708,5;4.083,40;799,5;3.283,90;;1.10.02.02;kg;1;3,283;0;1.201,20
122;0;118,3;1.251,00;150,8;1.218,50;300,3;918,2;;1.10.02.01;kg;1;918;0;124,8
123;0;1.280,50;1.895,30;625,3;2.550,50;500,5;2.050,00;;1.10.02.06;kg;1;2,05;0;124,8
124;0;2.412,00;5.996,00;4.060,00;4.348,00;0;4.348,00;;1.05.04.18;kg;1;4,348;0;0
125;0;456,3;312;1,3;767;161,2;605,8;;1.10.02.03;kg;1;605;0;124,8
126;0;126,1;312;23,4;414,7;0;414,7;;1.10.02.04;kg;1;414;0;124,8
127;0;322,4;0;42,9;279,5;169;110,5;;1.10.02.05;kg;1;110;0;124,8
128;0;21,8;0;0;21,8;0;21,8;;1.05.99.16;kg;1;21;0;50
131;0;464;0;48;416;0;416;;1.11.04.01;kg;1;416;0;0
134;0;0;0;0;0;0;0;;2.01.02.97;kg;1;0;0;0
136;0;0;0;0;0;0;0;;2.01.02.98;kg;1;0;0;0
137;0;0;0;0;0;0;0;;1.08.04.05;kg;1;0;0;300
138;0;0;0;0;0;0;0;;2.01.11.46;kg;0;0;0;0
141;0;0;0;0;0;0;0;;2.01.11.63;kg;0;0;0;0
143;0;0;0;0;0;0;0;;2.01.11.57;kg;1,03;0;0;0
144;0;10;0;0;10;0;10;;1.11.99.04;kg;1;10;0;20
146;0;0;0;0;0;0;0;;2.01.11.43;kg;0;0;0;0
147;0;0;0;0;0;0;0;;2.01.11.48;kg;0;0;0;0
150;0;0;0;0;0;0;0;;2.01.11.44;kg;0;0;0;0
151;0;0;0;0;0;0;0;;2.01.12.04;kg;1,03;0;0;0
153;0;0;0;0;0;0;0;;2.01.02.01;kg;1,03;0;0;0
155;0;0;0;0;0;0;0;;2.01.11.50;kg;1,02;0;0;0
156;0;0;0;0;0;0;0;;2.01.11.42;kg;0;0;0;0
159;0;508;0;0;508;0;508;;1.11.04.02;kg;1;508;0;600
160;0;0;0;0;0;0;0;;2.01.11.49;kg;0;0;0;0
164;0;8,6;0;0;8,6;0;8,6;;1.11.99.05;kg;1;8;0;20
165;0;0;0;0;0;0;0;;9.99.99.96;kg;0;0;0;0
167;0;0;0;0;0;0;0;;2.01.11.45;kg;0;0;0;0
169;0;456;0;0;456;0;456;;1.11.04.03;kg;1;456;0;0
170;0;0;0;0;0;0;0;;2.01.11.09;kg;1;0;0;0
171;0;11;0;0;11;0;11;;1.11.99.06;kg;1;11;0;20
172;0;0;0;0;0;0;0;;2.01.02.11;kg;1,03;0;0;0
176;0;0;0;0;0;0;0;;2.01.01.89;kg;1;0;0;0
188;0;112,5;0;0;112,5;300;-187,5;;1.03.02.02;kg;1;187;0;300
192;0;0;0;0;0;0;0;;1.02.25.09;kg;1,03;0;0;0
194;0;0;0;0;0;0;0;;2.01.10.10;kg;1,03;0;0;0
195;0;0;0;0;0;0;0;;2.01.01.07;kg;1,03;0;0;0
196;0;0;0;0;0;0;0;;2.01.12.02;kg;1,03;0;0;0
197;0;0;0;0;0;0;0;;2.02.04.55;kg;1;0;0;0
199;0;0;0;0;0;0;0;;2.02.01.99;kg;0;0;0;0
200;0;2,16;0;0;2,16;54;-51,84;;1.15.99.01;kg;1;51;0;12,96
202;0;0;0;0;0;0;0;;2.01.01.20;kg;0;0;0;0
203;0;0;0;0;0;0;0;;2.01.02.02;kg;1,03;0;0;0
204;0;0;0;0;0;0;0;;2.02.01.32;kg;1,03;0;0;0
205;0;0;0;0;0;0;0;;2.01.01.09;kg;1,03;0;0;0
207;0;0;0;0;0;0;0;;2.01.10.09;kg;0;0;0;0
209;0;0;0;0;0;0;0;;2.01.10.11;kg;0;0;0;0
211;0;0;0;0;0;0;0;;2.01.01.91;kg;1,03;0;0;0
214;0;0;0;0;0;0;0;;2.01.11.36;kg;1;0;0;0
215;0;0;0;0;0;0;0;;2.02.05.53;kg;1,03;0;0;0
216;0;0;0;0;0;0;0;;2.01.01.06;kg;1,03;0;0;0
219;0;0;0;0;0;0;0;;2.01.01.17;kg;0;0;0;0
220;0;0;0;0;0;0;0;;2.01.01.10;kg;1,03;0;0;0
226;0;308;0;0;308;0;308;;1.01.02.44;kg;1;308;0;0
238;0;0;0;0;0;0;0;;1.08.04.07;kg;1;0;0;308
239;0;0;0;0;0;0;0;;1.08.04.08;kg;1;0;0;400
240;0;0;0;0;0;0;0;;1.08.04.09;kg;1;0;0;400
241;0;0;0;0;0;0;0;;2.02.01.22;um;0;0;0;0
242;0;0;0;0;0;0;0;;2.02.01.38;um;0;0;0;0
245;0;392;0;14;378;0;378;;1.08.04.10;kg;1;378;0;400
255;0;0;0;0;0;0;0;;2.02.01.20;um;0;0;0;0
284;0;0;0;0;0;200;-200;;1.01.25.11;kg;1;200;0;500
285;0;150;1.800,60;700;1.250,60;300;950,6;;1.01.25.10;kg;1;950;0;500
292;0;300;0;200;100;200;-100;;1.01.25.02;kg;1;100;0;500
293;0;550;8.102,70;2.600,00;6.052,70;600;5.452,70;;1.01.25.09;kg;1;5,452;0;500
294;0;25;900,3;225;700,3;400;300,3;;1.01.25.07;kg;1;300;0;500
295;0;300;9.003,00;2.275,00;7.028,00;300;6.728,00;;1.01.25.08;kg;1;6,728;0;500
296;0;800;1.500,00;700;1.600,00;0;1.600,00;;1.04.25.43;kg;1;1,6;0;0
297;0;1.500,00;900,5;125;2.275,50;300;1.975,50;;1.02.25.05;kg;1;1,975;0;500
298;0;5.400,00;26.115,00;11.225,00;20.290,00;4.000,00;16.290,00;;1.02.25.02;kg;1;16,29;0;500
299;0;84;600;84;600;0;600;;1.05.12.18;kg;1;600;0;600
300;0;1.350,00;902;175;2.077,00;300;1.777,00;;1.03.25.05;kg;1;1,777;0;300
301;0;202,5;0;0;202,5;0;202,5;;1.07.03.02;kg;1;202;0;500
302;0;1.855,00;900,3;580;2.175,30;2.000,00;175,3;;1.01.02.49;kg;1;175;0;300
303;0;0;0;0;0;0;0;;1.03.25.03;kg;1;0;0;0
304;0;0;0;0;0;0;0;;1.03.25.01;kg;1;0;0;0
306;0;0;0;0;0;0;0;;1.03.25.04;kg;1;0;0;0
307;0;325;0;0;325;0;325;;1.14.25.05;kg;1;325;0;300
312;0;650;1.802,00;375;2.077,00;0;2.077,00;;1.01.25.23;kg;1;2,077;0;300
320;0;176,4;0;25,2;151,2;1.050,00;-898,8;;1.08.02.31;kg;1;898;0;302,4
321;0;250;0;0;250;200;50;;1.04.25.02;kg;1;50;0;125
322;0;3.975,00;9.000,00;3.275,00;9.700,00;1.800,00;7.900,00;;1.04.25.04;kg;1;7,9;0;1.200,00
323;0;275;300;200;375;500;-125;;1.04.25.05;kg;1;125;0;600
324;0;925;600;125;1.400,00;400;1.000,00;;1.04.25.07;kg;1;1;0;600
325;0;0;900;50;850;150;700;;1.04.25.11;kg;1;700;0;400
326;0;1.050,00;6.000,00;1.500,00;5.550,00;1.100,00;4.450,00;;1.04.25.12;kg;1;4,45;0;600
327;0;2.875,00;7.500,00;1.850,00;8.525,00;725;7.800,00;;1.04.25.13;kg;1;7,8;0;600
328;0;2.350,00;6.700,00;1.950,00;7.100,00;2.900,00;4.200,00;;1.04.25.15;kg;1;4,2;0;0
330;0;1.050,00;400;375;1.075,00;500;575;;1.04.25.17;kg;1;575;0;600
331;0;22,5;0;60;-37,5;0;-37,5;;1.01.02.40;kg;1;37;0;300
332;0;11.300,00;19.500,00;11.125,00;19.675,00;7.300,00;12.375,00;;1.04.25.25;kg;1;12,375;0;1.200,00
333;0;1.525,00;1.200,00;875;1.850,00;425;1.425,00;;1.04.25.28;kg;1;1,425;0;600
334;0;3.900,00;10.500,00;5.425,00;8.975,00;4.800,00;4.175,00;;1.04.25.32;kg;1;4,175;0;0
335;0;0;0;0;0;50;-50;;1.04.25.33;kg;1;50;0;125
336;0;0;0;0;0;0;0;;1.04.25.41;kg;1;0;0;125
337;0;875;4.500,00;825;4.550,00;800;3.750,00;;1.04.25.01;kg;1;3,75;0;600
338;0;0;0;20;-20;0;-20;;1.01.02.41;kg;1;20;0;300
339;0;1.900,00;4.500,00;1.000,00;5.400,00;600;4.800,00;;1.04.25.03;kg;1;4,8;0;600
340;0;0;0;0;0;300;-300;;1.04.25.08;kg;1;300;0;125
341;0;3.125,00;1.800,00;1.325,00;3.600,00;1.200,00;2.400,00;;1.04.25.09;kg;1;2,4;0;0
342;0;175;300;0;475;100;375;;1.04.25.18;kg;1;375;0;125
343;0;675;1.800,00;275;2.200,00;425;1.775,00;;1.04.25.19;kg;1;1,775;0;600
344;0;180;0;32;148;0;148;;1.01.02.42;kg;1;148;0;304
347;0;450;4.500,00;375;4.575,00;1.050,00;3.525,00;;1.04.25.27;kg;1;3,525;0;600
348;0;6,4;0;0;6,4;0;6,4;;1.05.99.17;kg;1;6;0;0
349;0;2.425,00;9.000,00;4.050,00;7.375,00;1.500,00;5.875,00;;1.04.25.30;kg;1;5,875;0;0
350;0;0;0;0;0;0;0;;1.04.25.42;kg;1;0;0;125
352;0;656;3.000,00;132;3.524,00;0;3.524,00;;1.05.04.19;kg;1;3,524;0;0
353;0;1.750,00;600;75;2.275,00;575;1.700,00;;1.04.25.37;kg;1;1,7;0;600
354;0;855;0;117,5;737,5;0;737,5;;1.01.02.45;kg;1;737;0;0
355;0;286;939;676;549;611;-62;;1.10.05.02;kg;1;62;0;123,5
356;0;396,5;312;130;578,5;65;513,5;;1.10.05.01;kg;1;513;0;120
357;0;0;0;0;0;201,5;-201,5;;1.10.05.04;kg;1;201;0;123,5
358;0;403;939;455;887;500,5;386,5;;1.10.05.06;kg;1;386;0;123,5
359;0;416;0;78;338;130;208;;1.10.05.05;kg;1;208;0;123,5
360;0;253,5;0;13;240,5;65;175,5;;1.10.05.03;kg;1;175;0;123,5
362;0;13;0;2,4;10,6;0;10,6;;1.08.02.25;kg;1;10;0;1
363;0;0;0;0;0;0;0;;1.04.25.47;kg;1;0;0;0
364;0;21,6;0;2,1;19,5;0;19,5;;1.01.99.31;kg;1;19;0;0
365;0;12,8;0;0;12,8;0;12,8;;1.09.99.13;KG;1;12;0;0
366;0;199,5;0;6,3;193,2;0;193,2;;1.09.02.13;kg;1;193;0;0
367;0;434;0;14;420;0;420;;1.09.12.16;kg;1;420;0;0
368;0;13,2;0;0;13,2;0;13,2;;1.08.99.30;kg;1;13;0;0
369;0;310,8;0;10,5;300,3;0;300,3;;1.08.02.34;kg;1;300;0;0
370;0;0;0;0;0;45;-45;;1.01.99.15;kg;1;45;0;20
371;0;13,6;0;0;13,6;45;-31,4;;1.01.99.32;kg;1;31;0;20
372;0;1,5;0;0;1,5;45;-43,5;;1.01.99.11;kg;1;43;0;20
373;0;11,6;0;0;11,6;49;-37,4;;1.01.99.16;kg;1;37;0;35
374;0;6,1;0;0;6,1;111;-104,9;;1.01.99.01;kg;1;104;0;20
375;0;19,6;0;0;19,6;49;-29,4;;1.01.99.17;kg;1;29;0;35
376;0;8,1;0;0;8,1;0;8,1;;1.01.99.07;kg;1;8;0;24
377;0;5,9;0;0;5,9;111;-105,1;;1.01.99.02;kg;1;105;0;20
378;0;2,4;0;0;2,4;66;-63,6;;1.01.99.10;kg;1;63;0;20
379;0;11,4;0;0;11,4;66;-54,6;;1.01.99.08;kg;1;54;0;20
380;0;6,3;0;0;6,3;66;-59,7;;1.01.99.09;kg;1;59;0;20
381;0;159,6;0;2,1;157,5;0;157,5;;1.05.02.18;kg;1;157;0;0
382;0;10,2;0;0;10,2;111;-100,8;;1.02.99.05;kg;1;100;0;20
383;0;23,4;0;1,5;21,9;111;-89,1;;1.02.99.03;kg;1;89;0;50
384;0;20,2;0;4;16,2;0;16,2;;1.05.99.18;kg;0,001;0,016;0;0
385;0;15;0;0;15;0;15;;1.03.99.05;kg;1;15;0;20
386;0;0;0;0;0;0;0;;1.03.99.03;kg;1;0;0;10
387;0;7,5;0;0;7,5;0;7,5;;1.03.99.04;kg;1;7;0;20
388;0;0;0;0;0;0;0;;1.03.99.01;kg;1;0;0;20
389;0;344;800;240;904;0;904;;1.05.04.21;kg;1;904;0;0
390;0;9,5;0;0;9,5;111;-101,5;;1.08.99.10;kg;1;101;0;20
391;0;10;0;0;10;65;-55;;1.04.99.01;kg;1;55;0;10
392;0;7,8;0;0;7,8;45;-37,2;;1.04.99.02;kg;1;37;0;10
393;0;15,8;0;0;15,8;0;15,8;;1.05.99.19;kg;1;15;0;0
394;0;8,6;0;2;6,6;65;-58,4;;1.04.99.03;kg;1;58;0;10
395;0;26;0;0;26;110;-84;;1.04.99.04;kg;1;84;0;10
396;0;7,2;0;0;7,2;90;-82,8;;1.04.99.05;kg;1;82;0;10
397;0;7;0;0;7;65;-58;;1.04.99.07;kg;1;58;0;10
398;0;10,8;0;0;10,8;65;-54,2;;1.04.99.08;kg;1;54;0;10
399;0;7,4;0;1;6,4;65;-58,6;;1.04.99.11;kg;1;58;0;10
400;0;46,4;0;2;44,4;110;-65,6;;1.04.99.12;kg;1;65;0;10
401;0;28,8;0;2;26,8;110;-83,2;;1.04.99.13;kg;1;83;0;10
402;0;9,2;0;2;7,2;110;-102,8;;1.04.99.09;kg;1;102;0;10
403;0;13,2;0;0;13,2;110;-96,8;;1.04.99.15;kg;1;96;0;10
404;0;7;0;1;6;25;-19;;1.04.99.16;kg;1;19;0;10
405;0;7,2;0;0;7,2;65;-57,8;;1.04.99.17;kg;1;57;0;10
406;0;11,2;0;1;10,2;65;-54,8;;1.04.99.18;kg;1;54;0;10
407;0;1.264,00;0;112;1.152,00;0;1.152,00;;1.09.04.01;kg;1;1,152;0;0
408;0;13,4;0;0;13,4;110;-96,6;;1.04.99.19;kg;1;96;0;10
409;0;0,4;0;0;0,4;45;-44,6;;1.04.99.21;kg;1;44;0;10
413;0;11,6;0;3;8,6;110;-101,4;;1.04.99.25;kg;1;101;0;50
414;0;7,4;0;0;7,4;45;-37,6;;1.04.99.26;kg;1;37;0;10
415;0;912;0;480;432;0;432;;1.01.02.46;kg;1;432;0;307,2
416;0;13,2;0;0;13,2;110;-96,8;;1.04.99.27;kg;1;96;0;10
417;0;7,4;0;0;7,4;90;-82,6;;1.04.99.28;kg;1;82;0;10
418;0;7,6;0;0;7,6;45;-37,4;;1.04.99.29;kg;0,001;0,037;0;10
419;0;9,2;0;0;9,2;110;-100,8;;1.04.99.30;kg;1;100;0;50
420;0;11,4;0;0;11,4;110;-98,6;;1.04.99.32;kg;1;98;0;50
421;0;7,2;0;0;7,2;25;-17,8;;1.04.99.33;kg;1;17;0;10
423;0;0;0;0;0;0;0;;1.04.99.35;kg;1;0;0;0
424;0;11;0;0;11;45;-34;;1.04.99.20;kg;1;34;0;10
425;0;0;0;0;0;0;0;;1.04.99.36;kg;1;0;0;12
426;0;10;0;0;10;45;-35;;1.04.99.37;kg;1;35;0;10
427;0;190;13.129,00;559;12.760,00;0;12.760,00;;1.19.01.04;kg;1;12,76;0;0
430;0;12,8;0;0;12,8;65;-52,2;;1.08.99.11;kg;1;52;0;12,6
431;0;1,4;0;0;1,4;25;-23,6;;1.08.99.28;kg;1;23;0;12,6
432;0;3,4;0;0;3,4;25;-21,6;;1.08.99.04;kg;1;21;0;12,6
433;0;500,5;2.418,00;76,7;2.841,80;0;2.841,80;;1.19.01.03;kg;1;2,841;0;405,6
435;0;6.548,00;4.800,00;0;11.348,00;0;11.348,00;;1.05.04.12;kg;1;11,348;0;600
436;0;10;0;1;9;45;-36;;1.08.99.20;kg;1;36;0;12,6
438;0;3.854,50;9.680,00;0;13.534,50;0;13.534,50;;1.10.02.07;kg;1;13,534;0;0
439;0;13,8;0;0;13,8;45;-31,2;;1.08.99.21;kg;1;31;0;12,6
440;0;2.100,00;4.800,00;1.190,00;5.710,00;0;5.710,00;;1.05.12.11;kg;1;5,71;0;0
441;0;0;0;0;0;0;0;;1.01.02.30;kg;1;0;0;300
442;0;0;0;0;0;0;0;;2.01.16.07;kg;1,03;0;0;0
443;0;0;0;0;0;0;0;;1.01.25.35;kg;1;0;0;0
445;0;0;0;0;0;0;0;;2.01.16.08;kg;1,03;0;0;0
446;0;944;6.000,00;1.940,00;5.004,00;0;5.004,00;;1.05.04.23;kg;1;5,004;0;0
447;0;12,2;0;0;12,2;45;-32,8;;1.08.99.02;kg;1;32;0;12,6
449;0;0;0;0;0;0;0;;2.01.16.09;kg;1,03;0;0;0
450;0;3.528,00;2.436,00;1.022,00;4.942,00;0;4.942,00;;1.19.14.01;kg;1;4,942;0;610
451;0;19,7;0;0;19,7;0;19,7;;1.08.99.31;kg;1;19;0;0
452;0;657,3;0;0;657,3;0;657,3;;1.08.02.35;kg;1;657;0;0
453;0;26,8;0;2;24,8;0;24,8;;1.04.99.41;kg;1;24;0;0
454;0;15,9;0;1;14,9;210;-195,1;;1.09.99.02;kg;1;195;0;14
455;0;10;400;14;396;0;396;;1.04.02.47;kg;1;396;0;0
458;0;11,5;0;0;11,5;0;11,5;;1.14.99.05;kg;1;11;0;20
459;0;1.475,00;900;425;1.950,00;0;1.950,00;;1.04.25.48;kg;1;1,95;0;0
460;0;0;0;0;0;0;0;;1.14.99.02;kg;1;0;0;0
461;0;0;0;0;0;0;0;;1.14.99.03;kg;1;0;0;0
462;0;0;0;0;0;0;0;;1.14.99.04;kg;1;0;0;0
465;0;12,6;0;0;12,6;0;12,6;;1.19.99.01;kg;1;12;0;14
466;0;10,8;0;0;10,8;0;10,8;;1.19.99.02;kg;1;10;0;14
467;0;0;0;0;0;0;0;;1.03.99.06;kg;1;0;0;10
468;0;15,2;0;0;15,2;0;15,2;;1.09.99.14;kg;1;15;0;0
469;0;29,8;0;0;29,8;0;29,8;;1.09.99.15;kg;1;29;0;0
470;0;14;0;0;14;0;14;;1.09.99.16;kg;1;14;0;0
471;0;19,6;0;0;19,6;25;-5,4;;1.10.99.01;kg;1;5;0;15
472;0;9,2;0;0;9,2;25;-15,8;;1.10.99.02;kg;1;15;0;15
473;0;8,6;0;0;8,6;25;-16,4;;1.10.99.03;kg;1;16;0;15
474;0;12,6;0;0;12,6;25;-12,4;;1.10.99.04;kg;1;12;0;15
475;0;9,6;0;0;9,6;25;-15,4;;1.10.99.05;kg;1;15;0;15
476;0;16;0;0;16;25;-9;;1.10.99.06;kg;1;9;0;15
477;0;1.820,00;4.536,00;0;6.356,00;0;6.356,00;;1.19.14.02;kg;1;6,356;0;610
478;0;0;0;0;0;0;0;;2.02.01.26;um;1,03;0;0;0
479;0;0;0;0;0;50;-50;;1.08.02.22;kg;1;50;0;121,6
480;0;865;0;5;860;200;660;;1.14.02.05;kg;1;660;0;300
482;0;3.360,00;4.818,00;2.730,00;5.448,00;0;5.448,00;;1.09.12.17;kg;1;5,448;0;0
483;0;0;0;0;0;0;0;;2.01.11.07;kg;1,03;0;0;0
484;0;2.050,00;900,3;1.425,00;1.525,30;0;1.525,30;;1.01.25.32;kg;1;1,525;0;0
485;0;7,8;0;2;5,8;0;5,8;;1.05.99.22;kg;1;5;0;0
486;0;96,6;0;37,8;58,8;0;58,8;;1.05.02.16;kg;1;58;0;0
487;0;48;1.800,00;484;1.364,00;0;1.364,00;;1.05.04.22;kg;1;1,364;0;0
488;0;0;0;0;0;0;0;;1.07.03.03;kg;1;0;0;0
489;0;0;0;0;0;0;0;;2.01.11.38;um;0;0;0;0
493;0;0;0;0;0;0;0;;2.02.05.76;um;0;0;0;0
497;0;750;502;25;1.227,00;0;1.227,00;;1.01.25.27;kg;1;1,227;0;500
502;0;2.168,00;4.095,30;1.908,00;4.355,30;9.600,00;-5.244,70;;1.06.02.01;kg;1;5,244;0;512
504;0;0;0;0;0;0;0;;1.11.12.12;kg;1;0;0;0
505;0;0;0;0;0;0;0;;1.11.12.11;kg;1;0;0;0
508;0;268,8;0;16,8;252;120;132;;1.08.02.20;kg;1;132;0;252
509;0;23,7;0;3;20,7;111;-90,3;;1.06.99.01;kg;1;90;0;50
513;0;0;0;0;0;50;-50;;1.01.02.13;kg;1;50;0;0
514;0;0;0;0;0;50;-50;;1.01.02.14;kg;1;50;0;0
515;0;2.625,00;20.410,50;9.960,00;13.075,50;0;13.075,50;;1.06.15.01;kg;1;13,075;0;600
516;0;675;901;200;1.376,00;0;1.376,00;;1.01.25.28;kg;1;1,376;0;300
519;0;0;0;0;0;0;0;;1.16.04.06;kg;1;0;0;0
520;0;8.800,00;6.000,00;0;14.800,00;0;14.800,00;;1.11.05.05;kg;1;14,8;0;0
